Province,Lat,Long,427
Anhui,31.8257,117.2264,991
Beijing,40.1824,116.4142,593
Chongqing,30.0572,107.874,579
Fujian,26.0789,117.9874,355
Gansu,37.8099,101.0583,139
Guangdong,23.3417,113.4244,1587
Guangxi,23.8298,108.7881,254
Guizhou,26.8154,106.8748,147
Hainan,19.1959,109.7453,168
Hebei,39.549,116.1306,328
Heilongjiang,47.862,127.7615,939
Henan,33.882,113.614,1276
Hong Kong,22.3,114.2,1037
Hubei,30.9756,112.2707,68128
Hunan,27.6104,111.7088,1019
Inner Mongolia,44.0935,113.9448,199
Jiangsu,32.9711,119.455,653
Jiangxi,27.614,115.7221,937
Jilin,43.6661,126.1923,110
Liaoning,41.2956,122.6085,146
Macau,22.1667,113.55,45
Ningxia,37.2692,106.1655,75
Qinghai,35.7452,95.9956,18
Shaanxi,35.1917,108.8701,286
Shandong,36.3427,118.1498,787
Shanghai,31.202,121.4491,644
Shanxi,37.5777,112.2922,197
Sichuan,30.6171,102.7103,561
Tianjin,39.3054,117.323,190
Tibet,31.6927,88.0924,1
Xinjiang,41.1129,85.2401,76
Yunnan,24.974,101.487,185
Zhejiang,29.1832,120.0934,1268
Taiwan,23.7,121,429
Alabama,32.3182,-86.9023,6539
Alaska,61.3707,-152.4044,345
American Samoa,-14.271,-170.132,0
Arizona,33.7298,-111.4312,6725
Arkansas,34.9697,-92.3731,3069
California,36.1162,-119.6816,44966
Colorado,39.0598,-105.3111,13879
Connecticut,41.5978,-72.7554,25997
Delaware,39.3185,-75.5071,4162
District of Columbia,38.8974,-77.0268,3892
Florida,27.7663,-81.6868,32138
Georgia,33.0406,-83.6431,24302
Guam,13.4443,144.7937,141
Hawaii,21.0943,-157.4983,607
Idaho,44.2405,-114.4788,1897
Illinois,40.3495,-88.9861,45883
Indiana,39.8494,-86.2583,15961
Iowa,42.0115,-93.2105,5868
Kansas,38.5266,-96.7265,3473
Kentucky,37.6681,-84.6701,4156
Louisiana,31.1695,-91.8678,27068
Maine,44.6939,-69.3819,1023
Maryland,39.0639,-76.8021,19487
Massachusetts,42.2302,-71.5301,56462
Michigan,43.3266,-84.5361,38210
Minnesota,45.6945,-93.9002,3811
Mississippi,32.7416,-89.6787,6094
Missouri,38.4561,-92.2884,7305
Montana,46.9219,-110.4544,449
Nebraska,41.1254,-98.2681,3358
Nevada,38.3135,-117.0554,4700
New Hampshire,43.4525,-71.5639,1938
New Jersey,40.2989,-74.521,111188
New Mexico,34.8405,-106.2485,2825
New York,42.1657,-74.9481,291996
North Carolina,35.6301,-79.8064,9428
North Dakota,47.5289,-99.784,942
Northern Mariana Islands,15.0979,145.6739,14
Ohio,40.3888,-82.7649,16325
Oklahoma,35.5653,-96.9289,3281
Oregon,44.572,-122.0709,2354
Pennsylvania,40.5908,-77.2098,43558
Puerto Rico,18.2208,-66.5901,1389
Rhode Island,41.6809,-71.5118,7708
South Carolina,33.8569,-80.945,5613
South Dakota,44.2998,-99.4388,2244
Tennessee,35.7478,-86.6923,9918
Texas,31.0545,-97.5635,25321
Utah,40.15,-111.8624,4236
Vermont,44.0459,-72.7107,855
Virgin Islands,18.3358,-64.8963,57
Virginia,37.7693,-78.17,13538
Washington,47.4009,-121.4905,13686
West Virginia,38.4912,-80.9545,1063
Wisconsin,44.2685,-89.6165,6081
Wyoming,42.756,-107.3025,520
